Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1670,1569,2157,2407,3096,1168,3266,0.0,False
jmeter_view_dashboard,4149,772,731,972,1074,1296,573,2232,0.0,False
jmeter_view_scrum_board,3323,1008,956,1360,1525,1901,655,3137,0.0,False
jmeter_view_issue,14127,975,887,1313,1491,1855,684,3911,0.0,False
jmeter_search_jql,4573,1938,1750,2630,3099,3979,1369,6103,0.0,False
jmeter_create_issue:open_quick_create,1664,290,270,388,424,517,199,1153,0.0,False
jmeter_view_backlog,2483,1334,1260,1810,2116,2658,782,5032,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1664,410,365,601,678,907,239,2448,0.0,False
jmeter_view_kanban_board,2897,931,871,1198,1346,1716,687,3036,0.0,False
jmeter_browse_projects,3723,405,380,535,603,726,284,1430,0.0,False
jmeter_edit_issue:open_editor,2071,575,535,749,846,1024,418,2009,0.0,False
jmeter_edit_issue:save_edit,2071,1159,1049,1576,1778,2240,825,3354,0.0,False
jmeter_view_project_summary,1242,740,700,913,1021,1220,575,2008,0.0,False
jmeter_add_comment:open_comment,824,525,492,672,749,860,391,1602,0.0,False
jmeter_add_comment:save_comment,824,1045,952,1440,1601,1857,748,2676,0.0,False
jmeter_app_specific_action,816,256,248,295,314,364,218,438,100.0,True
jmeter_browse_boards,406,487,456,621,704,832,353,2042,0.0,False
selenium_login:open_login_page,129,199,181,247,281,416,141,1356,0.0,False
selenium_login:login_and_view_dashboard,129,1938,2294,2539,2663,2867,500,7309,0.0,False
selenium_login,129,2138,2466,2758,2840,3176,663,8666,0.0,False
selenium_project_summary,129,561,471,661,1256,1512,319,4317,0.0,False
selenium_browse_projects_list,129,375,369,435,449,585,290,789,0.0,False
selenium_browse_boards_list,129,1114,1111,1343,1371,1422,749,2985,0.0,False
selenium_create_issue:open_quick_create,129,1027,1042,1281,1308,1319,682,1342,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,129,971,976,1232,1272,1350,593,1676,0.0,False
selenium_create_issue:fill_and_submit_issue_form,129,1580,1598,1851,1891,2211,1105,4381,0.0,False
selenium_create_issue,129,2607,2662,3123,3170,3402,1846,5250,0.0,False
selenium_edit_issue:open_edit_issue_form,129,522,479,658,723,980,396,1652,0.0,False
selenium_edit_issue:save_edit_issue_form,129,556,535,662,717,792,428,1123,0.0,False
selenium_edit_issue,129,2204,2184,2374,2459,2832,1783,3029,0.0,False
selenium_save_comment:open_comment_form,129,279,262,379,406,447,212,454,0.0,False
selenium_save_comment:submit_form,129,849,780,1037,1120,1325,641,3791,0.0,False
selenium_save_comment,129,2078,2061,2270,2330,2555,1661,4746,0.0,False
selenium_search_jql,129,1809,1580,2729,2918,3175,1089,4086,0.0,False
selenium_view_scrum_board_backlog,129,1379,1342,1771,1800,1972,827,3691,0.0,False
selenium_view_scrum_board,129,1232,1236,1435,1457,1570,776,3869,0.0,False
selenium_view_kanban_board,129,1274,1301,1510,1565,1732,791,2258,0.0,False
selenium_view_dashboard,129,324,301,399,452,582,247,627,0.0,False
selenium_view_issue,129,604,571,753,850,1031,430,1142,0.0,False
selenium_log_out,129,463,427,601,656,740,349,948,0.0,False
